the_sea_fairies_01_f000001|THE oceans are big and broad.|THE oceans are big and broad.
the_sea_fairies_07_f000104|Because they both get tired, said Tommy Blimken.|Because they both get tired, said Tommy Blimken.
the_sea_fairies_07_f000105|Then all the crabs laughed, and Tommy seemed to laugh louder than the rest.|Then all the crabs laughed, and Tommy seemed to laugh louder than the rest.
the_sea_fairies_07_f000106|How do the crabs in the sea know anything 'bout automobiles? asked Trot.|How do the crabs in the sea know anything 'bout automobiles? asked Trot.
the_sea_fairies_07_f000107|Why, Tommy Blimken and Harry Hustle were both captured once by humans and put in an aquarium, answered the mermaid.|Why, Tommy Blimken and Harry Hustle were both captured once by humans and put in an aquarium, answered the mermaid.
the_sea_fairies_07_f000108|But one day they climbed out and escaped, finally making their way back to the sea and home again.|But one day they climbed out and escaped, finally making their way back to the sea and home again.
the_sea_fairies_07_f000109|So they are quite traveled, you see, and great favorites among the crabs.|So they are quite traveled, you see, and great favorites among the crabs.
the_sea_fairies_07_f000110|While they were on land they saw a great many curious things, and so I suppose they saw automobiles.|While they were on land they saw a great many curious things, and so I suppose they saw automobiles.
the_sea_fairies_07_f000111|We did, we did! cried Harry Hustle, an awkward crab with one big claw and one little one.|We did, we did! cried Harry Hustle, an awkward crab with one big claw and one little one.
the_sea_fairies_07_f000112|And we saw earth people with legs, awfully funny they were; and animals called horses, with legs;|And we saw earth people with legs, awfully funny they were; and animals called horses, with legs;
the_sea_fairies_07_f000113|and other creatures with legs; and the people cover themselves with the queerest thingsthey even wear feathers and flowers on their heads,|and other creatures with legs; and the people cover themselves with the queerest thingsthey even wear feathers and flowers on their heads,
the_sea_fairies_07_f000114|and Oh, we know all about that, said Trot.|and Oh, we know all about that, said Trot.
the_sea_fairies_07_f000115|We live on the earth ourselves.|We live on the earth ourselves.
the_sea_fairies_07_f000116|Well, you're lucky to get off from it and into the good water, said the Crab.|Well, you're lucky to get off from it and into the good water, said the Crab.
the_sea_fairies_07_f000117|I nearly died on the earth; it was so stupid, dry and airy.|I nearly died on the earth; it was so stupid, dry and airy.
the_sea_fairies_07_f000118|But the circus was great.|But the circus was great.
the_sea_fairies_07_f000119|They held the performance right in front of the aquarium where we lived, and Tommy and I learned all the tricks of the tumblers.|They held the performance right in front of the aquarium where we lived, and Tommy and I learned all the tricks of the tumblers.
the_sea_fairies_07_f000120|Hi! Come on, fellows, and show the earth people what you can do!|Hi! Come on, fellows, and show the earth people what you can do!
the_sea_fairies_07_f000121|At this the crabs began performing their antics again, but they did the same things over and over, so Captain Bill and Trot soon tired, as Merla said they would,|At this the crabs began performing their antics again, but they did the same things over and over, so Captain Bill and Trot soon tired, as Merla said they would,
the_sea_fairies_07_f000122|and decided they had seen enough of the crab circus.|and decided they had seen enough of the crab circus.
the_sea_fairies_07_f000123|So they proceeded to swim farther up the rocky canyon, and near its upper end they came to a lot of conch shells lying upon the sandy bottom.|So they proceeded to swim farther up the rocky canyon, and near its upper end they came to a lot of conch shells lying upon the sandy bottom.
the_sea_fairies_07_f000124|A funny-looking crab was sticking his head out from each of these shells.|A funny-looking crab was sticking his head out from each of these shells.
the_sea_fairies_07_f000125|These are the hermit crabs, said one of the mermaids.|These are the hermit crabs, said one of the mermaids.
the_sea_fairies_07_f000126|They steal these shells and live in them so no enemies can attack them.|They steal these shells and live in them so no enemies can attack them.
the_sea_fairies_07_f000127|Don't they get lonesome? asked Trot.|Don't they get lonesome? asked Trot.
the_sea_fairies_07_f000128|Perhaps so, my dear.|Perhaps so, my dear.
the_sea_fairies_07_f000129|But they do not seem to mind being lonesome.|But they do not seem to mind being lonesome.
the_sea_fairies_07_f000130|They are great cowards, and think if they can but protect their lives there is nothing else to care for.|They are great cowards, and think if they can but protect their lives there is nothing else to care for.
the_sea_fairies_07_f000131|Unlike the jolly crabs we have just left, the hermits are cross and unsociable.|Unlike the jolly crabs we have just left, the hermits are cross and unsociable.
the_sea_fairies_07_f000132|Oh, keep quiet and go away! said one of the hermit crabs in a grumpy voice.|Oh, keep quiet and go away! said one of the hermit crabs in a grumpy voice.
the_sea_fairies_07_f000133|No one wants mermaids around here.|No one wants mermaids around here.
the_sea_fairies_07_f000134|Then every crab withdrew its head into its shell, and our friends saw them no more.|Then every crab withdrew its head into its shell, and our friends saw them no more.
the_sea_fairies_07_f000135|They're not very polite, observed Trot, following the mermaid as Merla swam upward into the middle water.|They're not very polite, observed Trot, following the mermaid as Merla swam upward into the middle water.
the_sea_fairies_07_f000136|I know now why cross people are called 'crabbed,' said Captain Bill.|I know now why cross people are called 'crabbed,' said Captain Bill.
the_sea_fairies_07_f000137|They've got dispositions jes' like these 'ere hermit crabs.|They've got dispositions jes' like these 'ere hermit crabs.
the_sea_fairies_07_f000138|Presently they came upon a small flock of mackerel, and noticed that the fishes seemed much excited.|Presently they came upon a small flock of mackerel, and noticed that the fishes seemed much excited.
the_sea_fairies_07_f000139|When they saw the mermaid, they cried out, Oh, Merla!|When they saw the mermaid, they cried out, Oh, Merla!
the_sea_fairies_07_f000140|What do you think?|What do you think?
the_sea_fairies_07_f000141|Our Flippity has just gone to glory!|Our Flippity has just gone to glory!
the_sea_fairies_07_f000142|When? asked the mermaid.|When? asked the mermaid.
the_sea_fairies_07_f000143|Just now, one replied.|Just now, one replied.
the_sea_fairies_07_f000144|We were lying in the water, talking quietly together when a spinning, shining thing came along and our dear Flippity ate it.|We were lying in the water, talking quietly together when a spinning, shining thing came along and our dear Flippity ate it.
the_sea_fairies_07_f000145|Then he went shooting up to the top of the water and gave a flop andwent to glory!|Then he went shooting up to the top of the water and gave a flop andwent to glory!
the_sea_fairies_07_f000146|Isn't it splendid, Merla?|Isn't it splendid, Merla?
the_sea_fairies_07_f000147|Poor Flippity!|Poor Flippity!
the_sea_fairies_07_f000148|sighed the mermaid.|sighed the mermaid.
the_sea_fairies_07_f000149|I'm sorry, for he was the prettiest and nicest mackerel in your whole flock.|I'm sorry, for he was the prettiest and nicest mackerel in your whole flock.
the_sea_fairies_07_f000150|What does it mean? asked Trot.|What does it mean? asked Trot.
the_sea_fairies_07_f000151|How did Flippity go to glory?|How did Flippity go to glory?
the_sea_fairies_07_f000152|Why, he was caught by a hook and pulled out of the water into some boat, Merla explained.|Why, he was caught by a hook and pulled out of the water into some boat, Merla explained.
the_sea_fairies_07_f000153|But these poor stupid creatures do not understand that, and when one of them is jerked out of the water and disappears, they have the idea he has gone to glory,|But these poor stupid creatures do not understand that, and when one of them is jerked out of the water and disappears, they have the idea he has gone to glory,
