poisoned_pen_01_f000001|THE POISONED PEN.|THE POISONED PEN.
poisoned_pen_03_f000221|As people were running to Kharkoff's assistance, I did the same. He saw me following him and ran, and I ran, too, and overtook him.|As people were running to Kharkoff's assistance, I did the same. He saw me following him and ran, and I ran, too, and overtook him.
poisoned_pen_03_f000222|mister Jameson, when I looked into his face I could not believe it.|mister Jameson, when I looked into his face I could not believe it.
poisoned_pen_03_f000223|Revalenko - he is one of the most ardent members of our organisation.|Revalenko - he is one of the most ardent members of our organisation.
poisoned_pen_03_f000224|He would not tell me why he had followed Kharkoff. I could make him confess nothing. But I am sure he is an agent provocateur of the Russian government,|He would not tell me why he had followed Kharkoff. I could make him confess nothing. But I am sure he is an agent provocateur of the Russian government,
poisoned_pen_03_f000225|that he is secretly giving away the plans that we are making, everything.|that he is secretly giving away the plans that we are making, everything.
poisoned_pen_03_f000226|We have a plot on now - perhaps he has informed them of that. Of course he denied setting the bomb or trying to poison any of us, but he was very frightened.|We have a plot on now - perhaps he has informed them of that. Of course he denied setting the bomb or trying to poison any of us, but he was very frightened.
poisoned_pen_03_f000227|I shall denounce him at the first opportunity.|I shall denounce him at the first opportunity.
poisoned_pen_03_f000228|I said nothing. Kazanovitch regarded me keenly to see what impression the story made on me, but I did not let my looks betray anything, except proper surprise, and he seemed satisfied.|I said nothing. Kazanovitch regarded me keenly to see what impression the story made on me, but I did not let my looks betray anything, except proper surprise, and he seemed satisfied.
poisoned_pen_03_f000229|It might be true, after all, I reasoned, the more I thought of it.|It might be true, after all, I reasoned, the more I thought of it.
poisoned_pen_03_f000230|I had heard that the Russian consul-general had a very extensive spy system in the city. In fact, even that morning I had had pointed out to me some spies at work in the public libraries,|I had heard that the Russian consul-general had a very extensive spy system in the city. In fact, even that morning I had had pointed out to me some spies at work in the public libraries,
poisoned_pen_03_f000231|watching what young Russians were reading.|watching what young Russians were reading.
poisoned_pen_03_f000232|I did not doubt that there were spies in the very inner circle of the revolutionists themselves.|I did not doubt that there were spies in the very inner circle of the revolutionists themselves.
poisoned_pen_03_f000233|At last Kennedy appeared. While Kazanovitch poured forth his story, with here and there, I fancied, an elaboration of a particularly dramatic point,|At last Kennedy appeared. While Kazanovitch poured forth his story, with here and there, I fancied, an elaboration of a particularly dramatic point,
poisoned_pen_03_f000234|Kennedy quickly examined the walls and floor of the wrecked office with his magnifying-glass.|Kennedy quickly examined the walls and floor of the wrecked office with his magnifying-glass.
poisoned_pen_03_f000235|When he had concluded his search, he turned to Kazanovitch.|When he had concluded his search, he turned to Kazanovitch.
poisoned_pen_03_f000236|Would it be possible, he asked, to let this Revalenko believe that he could trust you, that it would be safe for him to visit you to-night at Saratovsky's?|Would it be possible, he asked, to let this Revalenko believe that he could trust you, that it would be safe for him to visit you to-night at Saratovsky's?
poisoned_pen_03_f000237|Surely you can find some way of reassuring him.|Surely you can find some way of reassuring him.
poisoned_pen_03_f000238|Yes, I think that can be arranged, said Kazanovitch. I will go to him, will make him think I have misunderstood him, that I have not lost faith in him,|Yes, I think that can be arranged, said Kazanovitch. I will go to him, will make him think I have misunderstood him, that I have not lost faith in him,
poisoned_pen_03_f000239|provided he can explain all. He will come.|provided he can explain all. He will come.
poisoned_pen_03_f000240|Trust me.|Trust me.
poisoned_pen_03_f000241|Very well, then. To-night at eight I shall be there, promised Kennedy, as the novelist and he shook hands.|Very well, then. To-night at eight I shall be there, promised Kennedy, as the novelist and he shook hands.
poisoned_pen_03_f000242|What do you think of the Revalenko story? I asked of Craig, as we started uptown again.|What do you think of the Revalenko story? I asked of Craig, as we started uptown again.
poisoned_pen_03_f000243|Anything is possible in this case, he answered sententiously.|Anything is possible in this case, he answered sententiously.
poisoned_pen_03_f000244|Well, I exclaimed, this all is truly Russian. For intrigue they are certainly the leaders of the world to-day. There is only one person that I have any real confidence in,|Well, I exclaimed, this all is truly Russian. For intrigue they are certainly the leaders of the world to-day. There is only one person that I have any real confidence in,
poisoned_pen_03_f000245|and that is old Saratovsky himself.|and that is old Saratovsky himself.
poisoned_pen_03_f000246|Somebody is playing traitor, Craig. Who is it?|Somebody is playing traitor, Craig. Who is it?
poisoned_pen_03_f000247|That is what science will tell us to-night, was his brief reply.|That is what science will tell us to-night, was his brief reply.
poisoned_pen_03_f000248|There was no getting anything out of Craig until he was absolutely sure that his proofs had piled up irresistibly.|There was no getting anything out of Craig until he was absolutely sure that his proofs had piled up irresistibly.
poisoned_pen_03_f000249|Promptly at eight we met at the old house on Fifth Avenue. Kharkoff's wounds had proved less severe than had at first been suspected, and, having recovered from the shock,|Promptly at eight we met at the old house on Fifth Avenue. Kharkoff's wounds had proved less severe than had at first been suspected, and, having recovered from the shock,
poisoned_pen_03_f000250|he insisted on being transferred from the hospital in a private ambulance so that he could be near his friends. Saratovsky, in spite of his high fever,|he insisted on being transferred from the hospital in a private ambulance so that he could be near his friends. Saratovsky, in spite of his high fever,
