silent_bullet_01_f000001|CRAIG KENNEDY’S THEORIES.|CRAIG KENNEDYS THEORIES.
silent_bullet_03_f000049|I found them sticking on the jagged edges of the steel where it had been forced, he said. Then he whipped out a pocket magnifying-glass.|I found them sticking on the jagged edges of the steel where it had been forced, he said. Then he whipped out a pocket magnifying-glass.
silent_bullet_03_f000050|Not from a rubber glove, he commented half to himself. By Jove, one side of them shows lines that look as if they were the lines on a person’s fingers,|Not from a rubber glove, he commented half to himself. By Jove, one side of them shows lines that look as if they were the lines on a persons fingers,
silent_bullet_03_f000051|and the other side is perfectly smooth.|and the other side is perfectly smooth.
silent_bullet_03_f000052|There’s not a chance of using them as a clue, except - well, I didn’t know criminals in America knew that stunt.|Theres not a chance of using them as a clue, except - well, I didnt know criminals in America knew that stunt.
silent_bullet_03_f000053|What stunt?|What stunt?
silent_bullet_03_f000054|Why, you know how keen the new detectives are on the finger-print system? Well, the first thing some of the up-to-date criminals in Europe did was to wear rubber gloves so that they would leave no prints.|Why, you know how keen the new detectives are on the finger-print system? Well, the first thing some of the up-to-date criminals in Europe did was to wear rubber gloves so that they would leave no prints.
silent_bullet_03_f000055|But you can’t work very well with rubber gloves. Last fall in Paris I heard of a fellow who had given the police a lot of trouble.|But you cant work very well with rubber gloves. Last fall in Paris I heard of a fellow who had given the police a lot of trouble.
silent_bullet_03_f000056|He never left a mark, or at least it was no good if he did. He painted his hands lightly with a liquid rubber which he had invented himself.|He never left a mark, or at least it was no good if he did. He painted his hands lightly with a liquid rubber which he had invented himself.
silent_bullet_03_f000057|It did all that rubber gloves would do and yet left him the free use of his fingers with practically the same keenness of touch.|It did all that rubber gloves would do and yet left him the free use of his fingers with practically the same keenness of touch.
silent_bullet_03_f000058|Fletcher, whatever is at the bottom of this affair, I feel sure right now that you have to deal with no ordinary criminal.|Fletcher, whatever is at the bottom of this affair, I feel sure right now that you have to deal with no ordinary criminal.
silent_bullet_03_f000059|Do you suppose there are any relatives besides those we know of? I asked Kennedy when Fletcher had left to summon the servants.|Do you suppose there are any relatives besides those we know of? I asked Kennedy when Fletcher had left to summon the servants.
silent_bullet_03_f000060|No, he replied, I think not. Fletcher and Helen Bond, his second cousin, to whom he is engaged, are the only two.|No, he replied, I think not. Fletcher and Helen Bond, his second cousin, to whom he is engaged, are the only two.
silent_bullet_03_f000061|Kennedy continued to study the library. He walked in and out of the doors and examined the windows and viewed the safe from all angles.|Kennedy continued to study the library. He walked in and out of the doors and examined the windows and viewed the safe from all angles.
silent_bullet_03_f000062|The old gentleman’s bedroom is here, he said, indicating a door. Now a good smart noise or perhaps even a light shining through the transom from the library might arouse him.|The old gentlemans bedroom is here, he said, indicating a door. Now a good smart noise or perhaps even a light shining through the transom from the library might arouse him.
silent_bullet_03_f000063|Suppose he woke up suddenly and entered by this door. He would see the thief at work on the safe.|Suppose he woke up suddenly and entered by this door. He would see the thief at work on the safe.
silent_bullet_03_f000064|Yes, that part of reconstructing the story is simple. But who was the intruder?|Yes, that part of reconstructing the story is simple. But who was the intruder?
